package_name	discovery_query	score_final	popularity	quality	maintenance	version	date
node-addon-api	node-addon-api	2403.8848	1	1	1	8.9.2	2026-08-12T21:10:00.882Z
node-addon-api-helper	node-addon-api	172.34741	1	1	1	2.2.0	2024-03-26T11:12:13.914Z
@kooper-ai/yskip-embeddings	node-addon-api	164.69656	1	1	1	1.0.29	2021-03-25T23:58:15.400Z
napi-addon-spdlog	node-addon-api	149.96678	1	1	1	0.0.17	2020-10-15T02:11:47.574Z
@brick-a-brack/napi-canon-cameras	node-addon-api	149.12793	1	1	1	0.1.5	2024-10-05T08:38:59.124Z
ultimate-tictactoe-ai	node-addon-api	147.18858	1	1	1	0.4.3	2019-10-04T02:32:04.322Z
node-addon-api-helpers	node-addon-api	134.54523	1	1	1	0.11.0	2019-09-18T16:08:25.788Z
node-spdlog	node-addon-api	131.79333	1	1	1	0.1.5	2026-07-23T05:54:17.165Z
@markusjx/n-api-tools	node-addon-api	129.96498	1	1	1	1.2.0	2022-06-18T13:38:51.624Z
napi-addon-fdtd	node-addon-api	126.36963	1	1	1	3.4.9	2022-06-30T13:28:34.142Z
morfeusz2-node-bindings	node-addon-api	114.17574	1	1	1	0.1.4	2026-05-04T07:26:05.449Z
@jimp-native/plugin-resize-napi	node-addon-api	112.13483	1	1	1	0.1.0	2023-04-23T23:03:36.578Z
node-addon-require-builtin	node-addon-api	110.19059	1	1	1	0.1.5	2026-08-14T19:49:39.307Z
nan	node-addon-api	109.744385	1	1	1	2.28.0	2026-06-25T13:16:05.546Z
@jimp-native/plugin-color-napi	node-addon-api	109.72292	1	1	1	0.1.0	2023-04-23T23:03:36.665Z
node-addon-native-custom-loader	node-addon-api	108.94746	1	1	1	0.1.5	2026-08-14T19:49:17.649Z
node-gyp	node-addon-api	107.436165	1	1	1	13.0.2	2026-08-26T14:03:12.104Z
win-macro	node-addon-api	107.38727	1	1	1	2.1.0	2025-01-01T17:57:25.811Z
@jimp-native/utils-napi	node-addon-api	107.263374	1	1	1	0.1.0	2023-04-23T23:03:35.553Z
@jimp-native/plugin-mask-napi	node-addon-api	106.70968	1	1	1	0.1.0	2023-04-23T23:03:36.579Z
@depup/node-addon-api	node-addon-api	106.48351	1	1	1	8.9.2-depup.0	2026-08-13T00:28:28.227Z
@jimp-native/plugin-blit-napi	node-addon-api	106.12843	1	1	1	0.1.0	2023-04-23T23:03:36.655Z
@jimp-native/plugin-crop-napi	node-addon-api	104.871086	1	1	1	0.1.0	2023-04-23T23:03:36.596Z
@jimp-native/plugin-blur-napi	node-addon-api	104.79498	1	1	1	0.1.0	2023-04-23T23:03:36.578Z
@jimp-native/plugin-circle-napi	node-addon-api	103.49912	1	1	1	0.1.0	2023-04-23T23:03:36.522Z
@jimp-native/plugin-composite-napi	node-addon-api	103.29618	1	1	1	0.1.0	2023-04-23T23:03:36.623Z
@jimp-native/plugin-dither-napi	node-addon-api	102.78735	1	1	1	0.1.0	2023-04-23T23:03:36.668Z
@matteogheza/node-eventlog	node-addon-api	102.38602	1	1	1	2.0.9	2025-08-05T00:14:19.062Z
@jimp-native/plugin-rotate-napi	node-addon-api	99.60295	1	1	1	0.1.0	2023-04-23T23:03:36.546Z
