package_name	version	tarball_url	source_tree_sha256	tarball_sha256	selection_reason	binding_family	size_bucket	prior_status	n_cpp_files
node-libcurl	5.1.2	https://registry.npmjs.org/node-libcurl/-/node-libcurl-5.1.2.tgz	1c4527cd4be52a05acbb5868d171890b05d1c6058e16ea21bbdf7260ad89fb6b	ef9498d87d8ec0381abf7876d6aa3e59efe76d5ed54d7947c0a3d7fec3a0900e	forced_inclusion:node-libcurl	node-addon-api	medium	ANALYZED	10
node-crc16	2.0.7	https://registry.npmjs.org/node-crc16/-/node-crc16-2.0.7.tgz	385daaae8ca33c7246a23182855662dde60d0a3c03f96110110494334f5255b5	e2bd055eba9e501cc2d1d078689ff8e0f2eb5ce9155a85320bcff3049002608f	forced_inclusion:node-crc16	node-addon-api	small	ANALYZED	2
re2	1.26.1	https://registry.npmjs.org/re2/-/re2-1.26.1.tgz	27889bddc8d1e7508926c3fe24bb1e89835520cc0f9a9497f661855dd9f4bd67	e4a55e62219be47a27941c3b3c84611d88c7fee8fda7dcf777b4a591499556b8	forced_inclusion:re2	nan	large	ANALYZED	551
@2060.io/ffi-napi	4.0.9	https://registry.npmjs.org/@2060.io/ffi-napi/-/ffi-napi-4.0.9.tgz	e782c7f285cdde30cb91827694eba2781df955feb531f3caa5942a4a16e7740f	d77fe2d83e2a047da7329259057469c7e9baf7ff50ade4dd98aff86d1208813b	forced_inclusion:@2060.io/ffi-napi	node-addon-api	large	ANALYZED	327
node-snap7	1.0.9	https://registry.npmjs.org/node-snap7/-/node-snap7-1.0.9.tgz	56b7c57a259f83435325c0ce50255a3a92bf317ef13c0c716024a03ed9a014b5	9f57bac2cf593e102e9a6fdb7eb7c42962413faeaf910259a891f420c46a62dd	forced_inclusion:node-snap7	none	medium	ANALYZED	16
audify	1.10.1	https://registry.npmjs.org/audify/-/audify-1.10.1.tgz	cedb6fcbe73702f6fbaccdc8e93d02c22dfc1dfe130de048fb144225d188cee8	b859789b43cfc5c5fe1b6c74a6c8f416b460a79282cf01080c4003961acf7522	stratified_coverage	node-addon-api	large	ANALYZED	276
@driftlog/tree-sitter-dart	1.0.4	https://registry.npmjs.org/@driftlog/tree-sitter-dart/-/tree-sitter-dart-1.0.4.tgz	8809f68a59847873364b03d71f710710c03d9057e9ebdb9f2e8525784aa71d64	f29bd6093c2c451a674956432a6228dc82e106028cca55100301242585b1c1c2	stratified_coverage	none	small	RESOURCE_LIMIT	3
@gjsify/napi	0.44.0	https://registry.npmjs.org/@gjsify/napi/-/napi-0.44.0.tgz	2f787815233661f291103fefb6f6618bcf9929ae24c9bc5bc50ab5832e52ed86	52a217e29e00c4302fc01504c9effa0d5ab70c3ae09de9a5c9f94a195cfef6bf	stratified_coverage	raw-napi	medium	ANALYZED	12
yatag	1.3.0	https://registry.npmjs.org/yatag/-/yatag-1.3.0.tgz	ff033a1e56530d183a54430f825c6faaa6f64118dd893ed296846fe7d3659bb0	ed980bb7aea151d5c56e641392d0ea5898d0c13da9f5ab42b4435e260ec3413b	stratified_coverage	nan	large	ANALYZED	60
@farcaster/rocksdb	5.5.0	https://registry.npmjs.org/@farcaster/rocksdb/-/rocksdb-5.5.0.tgz	4400b8d6a1f8f701a97895dccf26a2776de9cfadb82e085e6796f5e5f467e518	cdc0e3e6cd625330831c0bb325a660cb3d4c535d042ac60bb5828d90e12908a9	stratified_coverage	none	large	CPP_CPG_FAILED	529
