eligible corpus rows (frozen order): 494
[1/494] node-addon-api@8.9.2: export=True regex_literals=148 dangerous=1 qualifies=True
[2/494] @kooper-ai/yskip-embeddings@1.0.29: export=True regex_literals=0 dangerous=0 qualifies=False
[3/494] napi-addon-spdlog@0.0.17: export=True regex_literals=0 dangerous=0 qualifies=False
[4/494] @brick-a-brack/napi-canon-cameras@0.1.5: export=True regex_literals=6 dangerous=0 qualifies=False
[5/494] ultimate-tictactoe-ai@0.4.3: export=True regex_literals=0 dangerous=0 qualifies=False
[6/494] node-spdlog@0.1.5: export=True regex_literals=0 dangerous=0 qualifies=False
[7/494] napi-addon-fdtd@3.4.9: export=True regex_literals=0 dangerous=0 qualifies=False
[8/494] morfeusz2-node-bindings@0.1.4: export=True regex_literals=1 dangerous=0 qualifies=False
[9/494] @jimp-native/plugin-resize-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[10/494] @jimp-native/plugin-color-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[11/494] win-macro@2.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[12/494] @jimp-native/plugin-mask-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[13/494] @depup/node-addon-api@8.9.2-depup.0: export=True regex_literals=148 dangerous=1 qualifies=True
[14/494] @jimp-native/plugin-blit-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[15/494] @jimp-native/plugin-crop-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[16/494] @jimp-native/plugin-blur-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[17/494] @jimp-native/plugin-circle-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[18/494] @jimp-native/plugin-composite-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[19/494] @jimp-native/plugin-dither-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[20/494] @matteogheza/node-eventlog@2.0.9: export=True regex_literals=0 dangerous=0 qualifies=False
[21/494] @jimp-native/plugin-rotate-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[22/494] @jimp-native/plugin-flip-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[23/494] emnapi@1.11.3: export=True regex_literals=27 dangerous=0 qualifies=False
[24/494] @jimp-native/plugin-invert-napi@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[25/494] @mapbox/node-cpp-skel@0.2.0: export=True regex_literals=0 dangerous=0 qualifies=False
[26/494] odbc@2.5.0: export=True regex_literals=0 dangerous=0 qualifies=False
[27/494] electron-nspanel@0.0.1: export=True regex_literals=0 dangerous=0 qualifies=False
[28/494] xxhash-addon@2.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[29/494] @eliyya/sange@1.2.0: export=True regex_literals=0 dangerous=0 qualifies=False
[30/494] re2@1.26.1: export=True regex_literals=0 dangerous=0 qualifies=False
[31/494] @theia/ffmpeg@1.75.0: export=True regex_literals=0 dangerous=0 qualifies=False
[32/494] @lynx-js/weak-node-api@0.1.0: export=False regex_literals=12 dangerous=0 qualifies=False
[33/494] @nodriverai/mavjs@0.1.2: export=True regex_literals=31 dangerous=0 qualifies=False
[34/494] pqclean@0.8.1: export=True regex_literals=0 dangerous=0 qualifies=False
