bin/server.js::program:main:<lambda>0	0	this	bin/server.js::program	
bin/server.js::program:main:<lambda>0	1	s	__ecma.String	
bin/server.js::program:main	0	this	bin/server.js::program	
bin/server.js::program:main:<lambda>1	0	this	bin/server.js::program	
bin/server.js::program	0	this	bin/server.js::program	
controllers/articles-controller.js::program	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:bySlug:<lambda>0	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:bySlug:<lambda>0	1	r	ANY	
controllers/articles-controller.js::program:bySlug	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:bySlug	1	slug	ANY	
controllers/articles-controller.js::program:bySlug	2	ctx	ANY	
controllers/articles-controller.js::program:bySlug	3	next	ANY	
controllers/articles-controller.js::program:bySlug:<lambda>1	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:bySlug:<lambda>1	1	t	ANY	
controllers/articles-controller.js::program:get:<lambda>2	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:get	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:get	1	ctx	ANY	
controllers/articles-controller.js::program:get:<lambda>3	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:get:<lambda>4:<lambda>5	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:get:<lambda>4:<lambda>5	1	t	ANY	
controllers/articles-controller.js::program:get:<lambda>4	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:get:<lambda>4	1	a	ANY	
controllers/articles-controller.js::program:getOne	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:getOne	1	ctx	ANY	
controllers/articles-controller.js::program:post:<lambda>6	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:post:<lambda>6	1	t	ANY	
controllers/articles-controller.js::program:post	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:post	1	ctx	ANY	
controllers/articles-controller.js::program:post:<lambda>7	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:post:<lambda>7	1	t	ANY	
controllers/articles-controller.js::program:post:<lambda>8	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:post:<lambda>8	1	t	ANY	
controllers/articles-controller.js::program:post:<lambda>9	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:post:<lambda>9	1	t	ANY	
controllers/articles-controller.js::program:put:<lambda>10	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:put:<lambda>10	1	t	ANY	
controllers/articles-controller.js::program:put	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:put	1	ctx	ANY	
controllers/articles-controller.js::program:put:<lambda>11	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:put:<lambda>11	1	t	ANY	
controllers/articles-controller.js::program:put:<lambda>12	0	this	controllers/articles-controller.js::program	
controllers/articles-controller.js::program:put:<lambda>12	1	t	ANY	
