sink	source	seq	from	to	structural_relation	property_effect	property_state	from_code	to_code
30064771086	68719476753	0	68719476753	30064771086	ARG_INTO_SINK	PRESERVES_PROPERTY	LIVE	input	JSON.stringify(input)
30064771095	68719476762	0	68719476762	30064771095	ARG_INTO_SINK	PRESERVES_PROPERTY	LIVE	input	JSON.stringify(input)
30064771103	68719476772	0	68719476772	68719476771	RECEIVER_OR_ARG_ARTIFACT	PASS_THROUGH	LIVE	input	this
30064771103	68719476772	1	68719476771	30064771102	LOOKUP_KEY_INFLUENCE	UNKNOWN	UNRESOLVED	this	wrap(input)
30064771103	68719476772	2	30064771102	68719476769	RETURN_VALUE_DEPENDENCE	UNKNOWN	UNRESOLVED	wrap(input)	w
30064771103	68719476772	3	68719476769	68719476773	VALUE_PRESERVING_FLOW	PRESERVES_PROPERTY	UNRESOLVED	w	w
30064771103	68719476772	4	68719476773	30064771103	ARG_INTO_SINK	PRESERVES_PROPERTY	UNRESOLVED	w	JSON.stringify(w)
30064771113	68719476780	0	68719476780	30064771112	LOOKUP_KEY_INFLUENCE	UNKNOWN	UNRESOLVED	input	String(input)
30064771113	68719476780	1	30064771112	68719476779	RETURN_VALUE_DEPENDENCE	UNKNOWN	UNRESOLVED	String(input)	_tmp_0
30064771113	68719476780	2	68719476779	68719476781	VALUE_PRESERVING_FLOW	PRESERVES_PROPERTY	UNRESOLVED	_tmp_0	_tmp_0
30064771113	68719476780	3	68719476781	30064771109	VALUE_TRANSFORM	BREAKS_PROPERTY	DEAD	_tmp_0	String(input).slice(0, 32)
30064771113	68719476780	4	30064771109	68719476778	VALUE_TRANSFORM	BREAKS_PROPERTY	DEAD	String(input).slice(0, 32)	bounded
30064771113	68719476780	5	68719476778	68719476782	VALUE_PRESERVING_FLOW	PRESERVES_PROPERTY	DEAD	bounded	bounded
30064771113	68719476780	6	68719476782	30064771113	ARG_INTO_SINK	PRESERVES_PROPERTY	DEAD	bounded	JSON.stringify(bounded)
30064771117	68719476786	0	68719476786	30064771117	ARG_INTO_SINK	PRESERVES_PROPERTY	LIVE	input	JSON.stringify(input)
30064771125	30064771126	0	30064771126	30064771125	ARG_INTO_SINK	PRESERVES_PROPERTY	LIVE	this.req	JSON.stringify(this.req)
30064771137	68719476807	0	68719476807	68719476806	RECEIVER_OR_ARG_ARTIFACT	PASS_THROUGH	LIVE	input	this
30064771137	68719476807	1	68719476806	30064771135	LOOKUP_KEY_INFLUENCE	UNKNOWN	UNRESOLVED	this	this.redact(input)
30064771137	68719476807	2	30064771135	68719476804	RETURN_VALUE_DEPENDENCE	UNKNOWN	UNRESOLVED	this.redact(input)	cleaned
30064771137	68719476807	3	68719476804	68719476808	VALUE_PRESERVING_FLOW	PRESERVES_PROPERTY	UNRESOLVED	cleaned	cleaned
30064771137	68719476807	4	68719476808	30064771137	ARG_INTO_SINK	PRESERVES_PROPERTY	UNRESOLVED	cleaned	JSON.stringify(cleaned)
